Barabasi_24_5_cycle_5_1_5.pickle,54,131,0.0152,0.0162,0.0187,0.0395,0.0626,0.0535,0.053,0.0412,0.0299,0.0562,0.0343,0.0536,0.0517,0.0367,0.0345,0.027,0.0327,0.0212,0.0366,0.0441,0.0427,0.0488,0.0466,0.0363,0.0099,0.0575,
Barabasi_24_5_grid_5_1_3.pickle,69,161,0.0247,0.0253,0.0221,0.0431,0.0434,0.0437,0.0216,0.0438,0.03,0.0197,0.026,0.0598,0.0229,0.0225,0.028,0.0241,0.0297,0.0047,0.0154,0.0233,0.0209,0.0337,0.0451,0.0065,0.0055,0.3144,
Barabasi_24_5_house_5_1_2.pickle,49,131,0.028,0.0291,0.0153,0.0499,0.0574,0.0502,0.0517,0.0494,0.0656,0.0486,0.0198,0.0311,0.0303,0.0232,0.0358,0.0413,0.0386,0.0127,0.0278,0.0467,0.0566,0.0329,0.0513,0.0423,0.0078,0.0565,
Barabasi_24_5_path_5_1_1.pickle,49,121,0.0255,0.0138,0.0013,0.0172,0.0673,0.0581,0.0621,0.0279,0.0336,0.0593,0.0357,0.0565,0.016,0.0377,0.0258,0.0373,0.0491,0.0133,0.0324,0.0638,0.0369,0.0568,0.0483,0.0387,0.0025,0.0832,
Barabasi_24_5_star_5_1_4.pickle,49,121,0.0252,0.0264,0.0146,0.0148,0.0377,0.0525,0.0528,0.0361,0.0341,0.0266,0.0516,0.039,0.0258,0.0233,0.0535,0.0424,0.0372,0.0113,0.0111,0.0569,0.0356,0.044,0.0469,0.0378,0.0095,0.1534,
Erdos_1000_16500_house_500_200_2.pickle,3500,20200,0.0138,0.0177,0.0286,0.0118,0.0194,0.0351,0.0348,0.0264,0.0192,0.011,0.022,0.0194,0.0395,0.0312,0.0296,0.0307,0.0203,0.0053,0.0032,0.0147,0.0263,0.0166,0.0628,0.0075,0.0068,0.446,
Erdos_1000_16500_grid_500_230_3.pickle,5500,23230,0.018,0.0242,0.0196,0.0271,0.0344,0.0278,0.0567,0.0568,0.0542,0.0281,0.0287,0.0189,0.0156,0.0396,0.0319,0.0205,0.0161,0.009,0.0117,0.0036,0.0,0.074,0.0456,0.0029,0.0068,0.3282,
Erdos_1000_16500_star_500_190_4.pickle,3500,19190,0.0268,0.0242,0.0193,0.0254,0.0374,0.0367,0.0413,0.0417,0.036,0.0333,0.0172,0.0127,0.0176,0.0099,0.0205,0.0041,0.0354,0.0,0.0389,0.0,0.0,0.0111,0.0272,0.0,0.0,0.4832,
Erdos_1000_16500_cycle_500_200_5.pickle,4000,20199,0.0222,0.0235,0.0262,0.0152,0.0404,0.0272,0.0816,0.0445,0.0433,0.0659,0.0557,0.0111,0.0082,0.0125,0.0123,0.0186,0.0242,0.0034,0.0268,0.0039,0.0063,0.0853,0.0581,0.0003,0.0064,0.277,
Barabasi_100_5_path_50_7_1.pickle,350,732,0.0213,0.0198,0.0267,0.0298,0.0461,0.0756,0.0615,0.0292,0.0229,0.0441,0.0544,0.043,0.0327,0.019,0.0141,0.0235,0.031,0.0435,0.0266,0.0556,0.0662,0.0527,0.0408,0.045,0.0096,0.0652,
Barabasi_100_5_house_50_8_2.pickle,350,833,0.0263,0.0225,0.0231,0.0308,0.0573,0.0789,0.0472,0.0415,0.0456,0.0459,0.0289,0.022,0.0289,0.0373,0.0242,0.0254,0.0372,0.0173,0.0404,0.042,0.0648,0.0515,0.043,0.031,0.004,0.083,
